Year,Month,Value,Model,Scenario
1996,3,14.519,CNRM-CM6-1,ssp245
1996,9,5.188,CNRM-CM6-1,ssp245
1997,3,14.982,CNRM-CM6-1,ssp245
1997,9,5.302,CNRM-CM6-1,ssp245
1998,3,15.934,CNRM-CM6-1,ssp245
1998,9,5.137,CNRM-CM6-1,ssp245
1999,3,15.766,CNRM-CM6-1,ssp245
1999,9,5.397,CNRM-CM6-1,ssp245
2000,3,15.5,CNRM-CM6-1,ssp245
2000,9,5.421,CNRM-CM6-1,ssp245
2001,3,15.728,CNRM-CM6-1,ssp245
2001,9,5.576,CNRM-CM6-1,ssp245
2002,3,15.589,CNRM-CM6-1,ssp245
2002,9,6.331,CNRM-CM6-1,ssp245
2003,3,15.44,CNRM-CM6-1,ssp245
2003,9,5.737,CNRM-CM6-1,ssp245
2004,3,15.707,CNRM-CM6-1,ssp245
2004,9,5.752,CNRM-CM6-1,ssp245
2005,3,15.409,CNRM-CM6-1,ssp245
2005,9,4.808,CNRM-CM6-1,ssp245
2006,3,15.38,CNRM-CM6-1,ssp245
2006,9,4.717,CNRM-CM6-1,ssp245
2007,3,15.631,CNRM-CM6-1,ssp245
2007,9,4.94,CNRM-CM6-1,ssp245
2008,3,15.82,CNRM-CM6-1,ssp245
2008,9,6.324,CNRM-CM6-1,ssp245
2009,3,15.982,CNRM-CM6-1,ssp245
2009,9,6.066,CNRM-CM6-1,ssp245
2010,3,15.873,CNRM-CM6-1,ssp245
2010,9,6.064,CNRM-CM6-1,ssp245
2011,3,15.541,CNRM-CM6-1,ssp245
2011,9,5.802,CNRM-CM6-1,ssp245
2012,3,15.865,CNRM-CM6-1,ssp245
2012,9,5.546,CNRM-CM6-1,ssp245
2013,3,15.8,CNRM-CM6-1,ssp245
2013,9,6.033,CNRM-CM6-1,ssp245
2014,3,15.861,CNRM-CM6-1,ssp245
2014,9,6.46,CNRM-CM6-1,ssp245
2015,3,16.078,CNRM-CM6-1,ssp245
2015,9,5.329,CNRM-CM6-1,ssp245
2016,3,15.949,CNRM-CM6-1,ssp245
2016,9,5.139,CNRM-CM6-1,ssp245
2017,3,15.692,CNRM-CM6-1,ssp245
2017,9,6.837,CNRM-CM6-1,ssp245
2018,3,16.743,CNRM-CM6-1,ssp245
2018,9,5.416,CNRM-CM6-1,ssp245
2019,3,16.393,CNRM-CM6-1,ssp245
2019,9,5.502,CNRM-CM6-1,ssp245
2020,3,16.206,CNRM-CM6-1,ssp245
2020,9,5.094,CNRM-CM6-1,ssp245
2021,3,15.932,CNRM-CM6-1,ssp245
2021,9,5.396,CNRM-CM6-1,ssp245
2022,3,15.676,CNRM-CM6-1,ssp245
2022,9,4.378,CNRM-CM6-1,ssp245
2023,3,15.404,CNRM-CM6-1,ssp245
2023,9,4.263,CNRM-CM6-1,ssp245
2024,3,15.476,CNRM-CM6-1,ssp245
2024,9,4.305,CNRM-CM6-1,ssp245
2025,3,15.397,CNRM-CM6-1,ssp245
2025,9,4.949,CNRM-CM6-1,ssp245
2026,3,15.541,CNRM-CM6-1,ssp245
2026,9,4.798,CNRM-CM6-1,ssp245
2027,3,15.443,CNRM-CM6-1,ssp245
2027,9,5.628,CNRM-CM6-1,ssp245
2028,3,15.637,CNRM-CM6-1,ssp245
2028,9,5.595,CNRM-CM6-1,ssp245
2029,3,15.394,CNRM-CM6-1,ssp245
2029,9,4.6,CNRM-CM6-1,ssp245
2030,3,15.61,CNRM-CM6-1,ssp245
2030,9,5.67,CNRM-CM6-1,ssp245
2031,3,15.589,CNRM-CM6-1,ssp245
2031,9,4.926,CNRM-CM6-1,ssp245
2032,3,15.526,CNRM-CM6-1,ssp245
2032,9,4.148,CNRM-CM6-1,ssp245
2033,3,15.573,CNRM-CM6-1,ssp245
2033,9,4.953,CNRM-CM6-1,ssp245
2034,3,15.522,CNRM-CM6-1,ssp245
2034,9,5.155,CNRM-CM6-1,ssp245
2035,3,16.068,CNRM-CM6-1,ssp245
2035,9,4.595,CNRM-CM6-1,ssp245
2036,3,16.645,CNRM-CM6-1,ssp245
2036,9,4.505,CNRM-CM6-1,ssp245
2037,3,16.219,CNRM-CM6-1,ssp245
2037,9,4.176,CNRM-CM6-1,ssp245
2038,3,16.252,CNRM-CM6-1,ssp245
2038,9,5.494,CNRM-CM6-1,ssp245
2039,3,15.59,CNRM-CM6-1,ssp245
2039,9,4.153,CNRM-CM6-1,ssp245
2040,3,16.278,CNRM-CM6-1,ssp245
2040,9,5.075,CNRM-CM6-1,ssp245
2041,3,16,CNRM-CM6-1,ssp245
2041,9,4.854,CNRM-CM6-1,ssp245
2042,3,15.197,CNRM-CM6-1,ssp245
2042,9,4.252,CNRM-CM6-1,ssp245
2043,3,15.173,CNRM-CM6-1,ssp245
2043,9,3.974,CNRM-CM6-1,ssp245
2044,3,15.034,CNRM-CM6-1,ssp245
2044,9,4.34,CNRM-CM6-1,ssp245
2045,3,15.085,CNRM-CM6-1,ssp245
2045,9,3.478,CNRM-CM6-1,ssp245
2046,3,15.131,CNRM-CM6-1,ssp245
2046,9,3.979,CNRM-CM6-1,ssp245
2047,3,15.537,CNRM-CM6-1,ssp245
2047,9,3.087,CNRM-CM6-1,ssp245
2048,3,15.833,CNRM-CM6-1,ssp245
2048,9,2.835,CNRM-CM6-1,ssp245
2049,3,15.613,CNRM-CM6-1,ssp245
2049,9,2.546,CNRM-CM6-1,ssp245
2050,3,15.613,CNRM-CM6-1,ssp245
2050,9,3.787,CNRM-CM6-1,ssp245
2051,3,15.424,CNRM-CM6-1,ssp245
2051,9,4.535,CNRM-CM6-1,ssp245
2052,3,15.863,CNRM-CM6-1,ssp245
2052,9,1.982,CNRM-CM6-1,ssp245
2053,3,15.5,CNRM-CM6-1,ssp245
2053,9,2.131,CNRM-CM6-1,ssp245
2054,3,15.617,CNRM-CM6-1,ssp245
2054,9,3.694,CNRM-CM6-1,ssp245
2055,3,15.681,CNRM-CM6-1,ssp245
2055,9,3.407,CNRM-CM6-1,ssp245
2056,3,15.753,CNRM-CM6-1,ssp245
2056,9,3.895,CNRM-CM6-1,ssp245
2057,3,15.665,CNRM-CM6-1,ssp245
2057,9,4.152,CNRM-CM6-1,ssp245
2058,3,15.962,CNRM-CM6-1,ssp245
2058,9,4.224,CNRM-CM6-1,ssp245
2059,3,15.246,CNRM-CM6-1,ssp245
2059,9,4.703,CNRM-CM6-1,ssp245
2060,3,15.368,CNRM-CM6-1,ssp245
2060,9,4.42,CNRM-CM6-1,ssp245
2061,3,15.285,CNRM-CM6-1,ssp245
2061,9,3.194,CNRM-CM6-1,ssp245
2062,3,15.576,CNRM-CM6-1,ssp245
2062,9,4.826,CNRM-CM6-1,ssp245
2063,3,15.235,CNRM-CM6-1,ssp245
2063,9,3.432,CNRM-CM6-1,ssp245
2064,3,15.153,CNRM-CM6-1,ssp245
2064,9,2.326,CNRM-CM6-1,ssp245
2065,3,14.78,CNRM-CM6-1,ssp245
2065,9,3.149,CNRM-CM6-1,ssp245
2066,3,15.13,CNRM-CM6-1,ssp245
2066,9,2.856,CNRM-CM6-1,ssp245
2067,3,15.014,CNRM-CM6-1,ssp245
2067,9,2.245,CNRM-CM6-1,ssp245
2068,3,14.999,CNRM-CM6-1,ssp245
2068,9,3.819,CNRM-CM6-1,ssp245
2069,3,14.861,CNRM-CM6-1,ssp245
2069,9,2.216,CNRM-CM6-1,ssp245
2070,3,15.342,CNRM-CM6-1,ssp245
2070,9,2.07,CNRM-CM6-1,ssp245
2071,3,15.312,CNRM-CM6-1,ssp245
2071,9,1.231,CNRM-CM6-1,ssp245
2072,3,15.113,CNRM-CM6-1,ssp245
2072,9,2.293,CNRM-CM6-1,ssp245
2073,3,15.191,CNRM-CM6-1,ssp245
2073,9,2.655,CNRM-CM6-1,ssp245
2074,3,14.536,CNRM-CM6-1,ssp245
2074,9,2.632,CNRM-CM6-1,ssp245
2075,3,14.367,CNRM-CM6-1,ssp245
2075,9,1.532,CNRM-CM6-1,ssp245
2076,3,14.39,CNRM-CM6-1,ssp245
2076,9,3.069,CNRM-CM6-1,ssp245
2077,3,14.38,CNRM-CM6-1,ssp245
2077,9,1.912,CNRM-CM6-1,ssp245
2078,3,14.444,CNRM-CM6-1,ssp245
2078,9,0.456,CNRM-CM6-1,ssp245
2079,3,14.371,CNRM-CM6-1,ssp245
2079,9,1.801,CNRM-CM6-1,ssp245
2080,3,14.077,CNRM-CM6-1,ssp245
2080,9,0.716,CNRM-CM6-1,ssp245
2081,3,14.126,CNRM-CM6-1,ssp245
2081,9,3.045,CNRM-CM6-1,ssp245
2082,3,14.342,CNRM-CM6-1,ssp245
2082,9,1.899,CNRM-CM6-1,ssp245
2083,3,14.291,CNRM-CM6-1,ssp245
2083,9,3.438,CNRM-CM6-1,ssp245
2084,3,13.94,CNRM-CM6-1,ssp245
2084,9,0.106,CNRM-CM6-1,ssp245
2085,3,13.884,CNRM-CM6-1,ssp245
2085,9,1.941,CNRM-CM6-1,ssp245
2086,3,13.863,CNRM-CM6-1,ssp245
2086,9,2.174,CNRM-CM6-1,ssp245
2087,3,14.355,CNRM-CM6-1,ssp245
2087,9,2.53,CNRM-CM6-1,ssp245
2088,3,14.208,CNRM-CM6-1,ssp245
2088,9,1.435,CNRM-CM6-1,ssp245
2089,3,13.488,CNRM-CM6-1,ssp245
2089,9,0.132,CNRM-CM6-1,ssp245
2090,3,13.717,CNRM-CM6-1,ssp245
2090,9,1.273,CNRM-CM6-1,ssp245
2091,3,14.077,CNRM-CM6-1,ssp245
2091,9,0.621,CNRM-CM6-1,ssp245
2092,3,13.629,CNRM-CM6-1,ssp245
2092,9,0.183,CNRM-CM6-1,ssp245
2093,3,13.448,CNRM-CM6-1,ssp245
2093,9,1.785,CNRM-CM6-1,ssp245
2094,3,13.397,CNRM-CM6-1,ssp245
2094,9,0.207,CNRM-CM6-1,ssp245
2095,3,13.21,CNRM-CM6-1,ssp245
2095,9,0.432,CNRM-CM6-1,ssp245
2096,3,13.761,CNRM-CM6-1,ssp245
2096,9,0.454,CNRM-CM6-1,ssp245
2097,3,13.281,CNRM-CM6-1,ssp245
2097,9,0.837,CNRM-CM6-1,ssp245
2098,3,13.358,CNRM-CM6-1,ssp245
2098,9,0.409,CNRM-CM6-1,ssp245
2099,3,13.42,CNRM-CM6-1,ssp245
2099,9,1.491,CNRM-CM6-1,ssp245
2100,3,13.341,CNRM-CM6-1,ssp245
2100,9,2.308,CNRM-CM6-1,ssp245
1979,3,16.716,CNRM-CM6-1,ssp585
1979,9,6.903,CNRM-CM6-1,ssp585
1980,3,16.875,CNRM-CM6-1,ssp585
1980,9,5.677,CNRM-CM6-1,ssp585
1981,3,16.204,CNRM-CM6-1,ssp585
1981,9,4.19,CNRM-CM6-1,ssp585
1982,3,16.067,CNRM-CM6-1,ssp585
1982,9,5.528,CNRM-CM6-1,ssp585
1983,3,15.961,CNRM-CM6-1,ssp585
1983,9,6.029,CNRM-CM6-1,ssp585
1984,3,16.121,CNRM-CM6-1,ssp585
1984,9,6.47,CNRM-CM6-1,ssp585
1985,3,16.131,CNRM-CM6-1,ssp585
1985,9,5.538,CNRM-CM6-1,ssp585
1986,3,16.349,CNRM-CM6-1,ssp585
1986,9,6.311,CNRM-CM6-1,ssp585
1987,3,15.844,CNRM-CM6-1,ssp585
1987,9,5.624,CNRM-CM6-1,ssp585
1988,3,15.577,CNRM-CM6-1,ssp585
1988,9,5.905,CNRM-CM6-1,ssp585
1989,3,15.321,CNRM-CM6-1,ssp585
1989,9,6.601,CNRM-CM6-1,ssp585
1990,3,15.21,CNRM-CM6-1,ssp585
1990,9,5.79,CNRM-CM6-1,ssp585
1991,3,15.657,CNRM-CM6-1,ssp585
1991,9,6.157,CNRM-CM6-1,ssp585
1992,3,15.639,CNRM-CM6-1,ssp585
1992,9,5.606,CNRM-CM6-1,ssp585
1993,3,15.557,CNRM-CM6-1,ssp585
1993,9,5.407,CNRM-CM6-1,ssp585
1994,3,15.839,CNRM-CM6-1,ssp585
1994,9,5.599,CNRM-CM6-1,ssp585
1995,3,15.372,CNRM-CM6-1,ssp585
1995,9,5.59,CNRM-CM6-1,ssp585
1996,3,14.519,CNRM-CM6-1,ssp585
1996,9,5.188,CNRM-CM6-1,ssp585
1997,3,14.982,CNRM-CM6-1,ssp585
1997,9,5.302,CNRM-CM6-1,ssp585
1998,3,15.934,CNRM-CM6-1,ssp585
1998,9,5.137,CNRM-CM6-1,ssp585
1999,3,15.766,CNRM-CM6-1,ssp585
1999,9,5.397,CNRM-CM6-1,ssp585
2000,3,15.5,CNRM-CM6-1,ssp585
2000,9,5.421,CNRM-CM6-1,ssp585
2001,3,15.728,CNRM-CM6-1,ssp585
2001,9,5.576,CNRM-CM6-1,ssp585
2002,3,15.589,CNRM-CM6-1,ssp585
2002,9,6.331,CNRM-CM6-1,ssp585
2003,3,15.44,CNRM-CM6-1,ssp585
2003,9,5.737,CNRM-CM6-1,ssp585
2004,3,15.707,CNRM-CM6-1,ssp585
2004,9,5.752,CNRM-CM6-1,ssp585
2005,3,15.409,CNRM-CM6-1,ssp585
2005,9,4.808,CNRM-CM6-1,ssp585
2006,3,15.38,CNRM-CM6-1,ssp585
2006,9,4.717,CNRM-CM6-1,ssp585
2007,3,15.631,CNRM-CM6-1,ssp585
2007,9,4.94,CNRM-CM6-1,ssp585
2008,3,15.82,CNRM-CM6-1,ssp585
2008,9,6.324,CNRM-CM6-1,ssp585
2009,3,15.982,CNRM-CM6-1,ssp585
2009,9,6.066,CNRM-CM6-1,ssp585
2010,3,15.873,CNRM-CM6-1,ssp585
2010,9,6.064,CNRM-CM6-1,ssp585
2011,3,15.541,CNRM-CM6-1,ssp585
2011,9,5.802,CNRM-CM6-1,ssp585
2012,3,15.865,CNRM-CM6-1,ssp585
2012,9,5.546,CNRM-CM6-1,ssp585
2013,3,15.8,CNRM-CM6-1,ssp585
2013,9,6.033,CNRM-CM6-1,ssp585
2014,3,15.861,CNRM-CM6-1,ssp585
2014,9,6.46,CNRM-CM6-1,ssp585
2015,3,16.103,CNRM-CM6-1,ssp585
2015,9,5.738,CNRM-CM6-1,ssp585
2016,3,16.039,CNRM-CM6-1,ssp585
2016,9,4.614,CNRM-CM6-1,ssp585
2017,3,15.946,CNRM-CM6-1,ssp585
2017,9,5.381,CNRM-CM6-1,ssp585
2018,3,16.44,CNRM-CM6-1,ssp585
2018,9,5.597,CNRM-CM6-1,ssp585
2019,3,16.399,CNRM-CM6-1,ssp585
2019,9,4.98,CNRM-CM6-1,ssp585
2020,3,15.961,CNRM-CM6-1,ssp585
2020,9,4.594,CNRM-CM6-1,ssp585
2021,3,15.814,CNRM-CM6-1,ssp585
2021,9,3.683,CNRM-CM6-1,ssp585
2022,3,15.417,CNRM-CM6-1,ssp585
2022,9,4.399,CNRM-CM6-1,ssp585
2023,3,15.402,CNRM-CM6-1,ssp585
2023,9,4.296,CNRM-CM6-1,ssp585
2024,3,15.49,CNRM-CM6-1,ssp585
2024,9,3.431,CNRM-CM6-1,ssp585
2025,3,15.932,CNRM-CM6-1,ssp585
2025,9,4.929,CNRM-CM6-1,ssp585
2026,3,15.862,CNRM-CM6-1,ssp585
2026,9,5.164,CNRM-CM6-1,ssp585
2027,3,16.176,CNRM-CM6-1,ssp585
2027,9,4.885,CNRM-CM6-1,ssp585
2028,3,16.085,CNRM-CM6-1,ssp585
2028,9,5.906,CNRM-CM6-1,ssp585
2029,3,16.13,CNRM-CM6-1,ssp585
2029,9,7.656,CNRM-CM6-1,ssp585
2030,3,16.227,CNRM-CM6-1,ssp585
2030,9,6.451,CNRM-CM6-1,ssp585
2031,3,16.151,CNRM-CM6-1,ssp585
2031,9,5.008,CNRM-CM6-1,ssp585
2032,3,15.918,CNRM-CM6-1,ssp585
2032,9,4.189,CNRM-CM6-1,ssp585
2033,3,15.502,CNRM-CM6-1,ssp585
2033,9,2.685,CNRM-CM6-1,ssp585
2034,3,15.189,CNRM-CM6-1,ssp585
2034,9,3.544,CNRM-CM6-1,ssp585
2035,3,15.177,CNRM-CM6-1,ssp585
2035,9,4.227,CNRM-CM6-1,ssp585
2036,3,15.693,CNRM-CM6-1,ssp585
2036,9,4.822,CNRM-CM6-1,ssp585
2037,3,15.945,CNRM-CM6-1,ssp585
2037,9,3.583,CNRM-CM6-1,ssp585
2038,3,15.565,CNRM-CM6-1,ssp585
2038,9,4.094,CNRM-CM6-1,ssp585
2039,3,15.56,CNRM-CM6-1,ssp585
2039,9,4.543,CNRM-CM6-1,ssp585
2040,3,15.567,CNRM-CM6-1,ssp585
2040,9,3.949,CNRM-CM6-1,ssp585
2041,3,15.649,CNRM-CM6-1,ssp585
2041,9,3.065,CNRM-CM6-1,ssp585
2042,3,15.619,CNRM-CM6-1,ssp585
2042,9,3.168,CNRM-CM6-1,ssp585
2043,3,15.847,CNRM-CM6-1,ssp585
2043,9,3.744,CNRM-CM6-1,ssp585
2044,3,15.802,CNRM-CM6-1,ssp585
2044,9,5.116,CNRM-CM6-1,ssp585
2045,3,15.591,CNRM-CM6-1,ssp585
2045,9,4.317,CNRM-CM6-1,ssp585
2046,3,15.656,CNRM-CM6-1,ssp585
2046,9,3.324,CNRM-CM6-1,ssp585
2047,3,15.273,CNRM-CM6-1,ssp585
2047,9,3.186,CNRM-CM6-1,ssp585
2048,3,15.952,CNRM-CM6-1,ssp585
2048,9,3.17,CNRM-CM6-1,ssp585
2049,3,14.994,CNRM-CM6-1,ssp585
2049,9,4.266,CNRM-CM6-1,ssp585
2050,3,15.009,CNRM-CM6-1,ssp585
2050,9,2.84,CNRM-CM6-1,ssp585
2051,3,14.832,CNRM-CM6-1,ssp585
2051,9,3.757,CNRM-CM6-1,ssp585
2052,3,15.401,CNRM-CM6-1,ssp585
2052,9,3.222,CNRM-CM6-1,ssp585
2053,3,15.478,CNRM-CM6-1,ssp585
2053,9,3.275,CNRM-CM6-1,ssp585
2054,3,15.206,CNRM-CM6-1,ssp585
2054,9,4.471,CNRM-CM6-1,ssp585
2055,3,15.708,CNRM-CM6-1,ssp585
2055,9,3.17,CNRM-CM6-1,ssp585
2056,3,14.945,CNRM-CM6-1,ssp585
2056,9,3.016,CNRM-CM6-1,ssp585
2057,3,14.582,CNRM-CM6-1,ssp585
2057,9,2.505,CNRM-CM6-1,ssp585
2058,3,14.257,CNRM-CM6-1,ssp585
2058,9,1.746,CNRM-CM6-1,ssp585
2059,3,14.098,CNRM-CM6-1,ssp585
2059,9,1.53,CNRM-CM6-1,ssp585
2060,3,14.424,CNRM-CM6-1,ssp585
2060,9,0.567,CNRM-CM6-1,ssp585
2061,3,14.665,CNRM-CM6-1,ssp585
2061,9,1.71,CNRM-CM6-1,ssp585
2062,3,14.239,CNRM-CM6-1,ssp585
2062,9,0.581,CNRM-CM6-1,ssp585
2063,3,14.441,CNRM-CM6-1,ssp585
2063,9,1.423,CNRM-CM6-1,ssp585
2064,3,14.764,CNRM-CM6-1,ssp585
2064,9,0.107,CNRM-CM6-1,ssp585
2065,3,14.335,CNRM-CM6-1,ssp585
2065,9,0.255,CNRM-CM6-1,ssp585
2066,3,13.93,CNRM-CM6-1,ssp585
2066,9,0.008,CNRM-CM6-1,ssp585
2067,3,13.403,CNRM-CM6-1,ssp585
2067,9,0.392,CNRM-CM6-1,ssp585
2068,3,13.345,CNRM-CM6-1,ssp585
2068,9,1.923,CNRM-CM6-1,ssp585
2069,3,13.585,CNRM-CM6-1,ssp585
2069,9,0.084,CNRM-CM6-1,ssp585
2070,3,13.53,CNRM-CM6-1,ssp585
2070,9,1.087,CNRM-CM6-1,ssp585
2071,3,13.574,CNRM-CM6-1,ssp585
2071,9,0.003,CNRM-CM6-1,ssp585
2072,3,13.195,CNRM-CM6-1,ssp585
2072,9,0.008,CNRM-CM6-1,ssp585
2073,3,12.949,CNRM-CM6-1,ssp585
2073,9,0,CNRM-CM6-1,ssp585
2074,3,12.541,CNRM-CM6-1,ssp585
2074,9,0.174,CNRM-CM6-1,ssp585
2075,3,12.096,CNRM-CM6-1,ssp585
2075,9,0,CNRM-CM6-1,ssp585
2076,3,12.332,CNRM-CM6-1,ssp585
2076,9,0.007,CNRM-CM6-1,ssp585
2077,3,12.196,CNRM-CM6-1,ssp585
2077,9,0,CNRM-CM6-1,ssp585
2078,3,12.493,CNRM-CM6-1,ssp585
2078,9,0,CNRM-CM6-1,ssp585
2079,3,12.45,CNRM-CM6-1,ssp585
2079,9,0.018,CNRM-CM6-1,ssp585
2080,3,12.744,CNRM-CM6-1,ssp585
2080,9,0.002,CNRM-CM6-1,ssp585
2081,3,12.411,CNRM-CM6-1,ssp585
2081,9,0,CNRM-CM6-1,ssp585
2082,3,12.864,CNRM-CM6-1,ssp585
2082,9,0.554,CNRM-CM6-1,ssp585
2083,3,11.987,CNRM-CM6-1,ssp585
2083,9,0,CNRM-CM6-1,ssp585
2084,3,11.891,CNRM-CM6-1,ssp585
2084,9,0,CNRM-CM6-1,ssp585
2085,3,11.488,CNRM-CM6-1,ssp585
2085,9,0,CNRM-CM6-1,ssp585
2086,3,11.871,CNRM-CM6-1,ssp585
2086,9,0,CNRM-CM6-1,ssp585
2087,3,11.486,CNRM-CM6-1,ssp585
2087,9,0,CNRM-CM6-1,ssp585
2088,3,10.871,CNRM-CM6-1,ssp585
2088,9,0,CNRM-CM6-1,ssp585
2089,3,11.19,CNRM-CM6-1,ssp585
2089,9,0,CNRM-CM6-1,ssp585
2090,3,11.38,CNRM-CM6-1,ssp585
2090,9,0,CNRM-CM6-1,ssp585
2091,3,11.125,CNRM-CM6-1,ssp585
2091,9,0,CNRM-CM6-1,ssp585
2092,3,11.221,CNRM-CM6-1,ssp585
2092,9,0,CNRM-CM6-1,ssp585
2093,3,10.765,CNRM-CM6-1,ssp585
2093,9,0,CNRM-CM6-1,ssp585
2094,3,10.004,CNRM-CM6-1,ssp585
2094,9,0,CNRM-CM6-1,ssp585
2095,3,8.977,CNRM-CM6-1,ssp585
2095,9,0,CNRM-CM6-1,ssp585
2096,3,9.197,CNRM-CM6-1,ssp585
2096,9,0,CNRM-CM6-1,ssp585
2097,3,8.537,CNRM-CM6-1,ssp585
2097,9,0,CNRM-CM6-1,ssp585
2098,3,9.893,CNRM-CM6-1,ssp585
2098,9,0,CNRM-CM6-1,ssp585
2099,3,9.559,CNRM-CM6-1,ssp585
2099,9,0,CNRM-CM6-1,ssp585
2100,3,8.698,CNRM-CM6-1,ssp585
2100,9,0,CNRM-CM6-1,ssp585
1979,3,16.027,CNRM-CM6-1-HR,ssp245
1979,9,7.348,CNRM-CM6-1-HR,ssp245
1980,3,15.931,CNRM-CM6-1-HR,ssp245
1980,9,7.246,CNRM-CM6-1-HR,ssp245
1981,3,15.695,CNRM-CM6-1-HR,ssp245
1981,9,7.345,CNRM-CM6-1-HR,ssp245
1982,3,16.004,CNRM-CM6-1-HR,ssp245
1982,9,7.253,CNRM-CM6-1-HR,ssp245
1983,3,16.056,CNRM-CM6-1-HR,ssp245
1983,9,7.233,CNRM-CM6-1-HR,ssp245
1984,3,15.78,CNRM-CM6-1-HR,ssp245
1984,9,7.037,CNRM-CM6-1-HR,ssp245
1985,3,15.791,CNRM-CM6-1-HR,ssp245
1985,9,6.753,CNRM-CM6-1-HR,ssp245
1986,3,15.542,CNRM-CM6-1-HR,ssp245
1986,9,7.513,CNRM-CM6-1-HR,ssp245
1987,3,16.059,CNRM-CM6-1-HR,ssp245
1987,9,7.403,CNRM-CM6-1-HR,ssp245
1988,3,15.855,CNRM-CM6-1-HR,ssp245
1988,9,7.585,CNRM-CM6-1-HR,ssp245
1989,3,15.812,CNRM-CM6-1-HR,ssp245
1989,9,7.643,CNRM-CM6-1-HR,ssp245
1990,3,15.363,CNRM-CM6-1-HR,ssp245
1990,9,7.454,CNRM-CM6-1-HR,ssp245
1991,3,15.308,CNRM-CM6-1-HR,ssp245
1991,9,7.183,CNRM-CM6-1-HR,ssp245
1992,3,15.814,CNRM-CM6-1-HR,ssp245
1992,9,5.88,CNRM-CM6-1-HR,ssp245
1993,3,16.218,CNRM-CM6-1-HR,ssp245
1993,9,7.726,CNRM-CM6-1-HR,ssp245
1994,3,16.084,CNRM-CM6-1-HR,ssp245
1994,9,7.257,CNRM-CM6-1-HR,ssp245
1995,3,16.158,CNRM-CM6-1-HR,ssp245
1995,9,7.29,CNRM-CM6-1-HR,ssp245
1996,3,16.029,CNRM-CM6-1-HR,ssp245
1996,9,7.178,CNRM-CM6-1-HR,ssp245
1997,3,15.805,CNRM-CM6-1-HR,ssp245
1997,9,6.243,CNRM-CM6-1-HR,ssp245
1998,3,15.812,CNRM-CM6-1-HR,ssp245
1998,9,7.084,CNRM-CM6-1-HR,ssp245
1999,3,15.789,CNRM-CM6-1-HR,ssp245
1999,9,6.877,CNRM-CM6-1-HR,ssp245
2000,3,15.78,CNRM-CM6-1-HR,ssp245
2000,9,6.306,CNRM-CM6-1-HR,ssp245
2001,3,15.941,CNRM-CM6-1-HR,ssp245
2001,9,6.116,CNRM-CM6-1-HR,ssp245
2002,3,15.622,CNRM-CM6-1-HR,ssp245
2002,9,5.895,CNRM-CM6-1-HR,ssp245
2003,3,15.357,CNRM-CM6-1-HR,ssp245
2003,9,6.579,CNRM-CM6-1-HR,ssp245
2004,3,15.459,CNRM-CM6-1-HR,ssp245
2004,9,7.11,CNRM-CM6-1-HR,ssp245
2005,3,15.524,CNRM-CM6-1-HR,ssp245
2005,9,6.907,CNRM-CM6-1-HR,ssp245
2006,3,15.662,CNRM-CM6-1-HR,ssp245
2006,9,6.779,CNRM-CM6-1-HR,ssp245
2007,3,15.568,CNRM-CM6-1-HR,ssp245
2007,9,6.57,CNRM-CM6-1-HR,ssp245
2008,3,15.389,CNRM-CM6-1-HR,ssp245
2008,9,5.429,CNRM-CM6-1-HR,ssp245
2009,3,15.197,CNRM-CM6-1-HR,ssp245
2009,9,6.436,CNRM-CM6-1-HR,ssp245
2010,3,15.434,CNRM-CM6-1-HR,ssp245
2010,9,5.739,CNRM-CM6-1-HR,ssp245
2011,3,15.447,CNRM-CM6-1-HR,ssp245
2011,9,6.692,CNRM-CM6-1-HR,ssp245
2012,3,15.389,CNRM-CM6-1-HR,ssp245
2012,9,6.045,CNRM-CM6-1-HR,ssp245
2013,3,15.251,CNRM-CM6-1-HR,ssp245
2013,9,6.034,CNRM-CM6-1-HR,ssp245
2014,3,15.178,CNRM-CM6-1-HR,ssp245
2014,9,5.357,CNRM-CM6-1-HR,ssp245
2015,3,15.094,CNRM-CM6-1-HR,ssp245
2015,9,5.548,CNRM-CM6-1-HR,ssp245
2016,3,15.226,CNRM-CM6-1-HR,ssp245
2016,9,6.201,CNRM-CM6-1-HR,ssp245
2017,3,15.257,CNRM-CM6-1-HR,ssp245
2017,9,5.317,CNRM-CM6-1-HR,ssp245
2018,3,15.035,CNRM-CM6-1-HR,ssp245
2018,9,4.215,CNRM-CM6-1-HR,ssp245
2019,3,14.93,CNRM-CM6-1-HR,ssp245
2019,9,4.185,CNRM-CM6-1-HR,ssp245
2020,3,15.168,CNRM-CM6-1-HR,ssp245
2020,9,4.594,CNRM-CM6-1-HR,ssp245
2021,3,15.355,CNRM-CM6-1-HR,ssp245
2021,9,5.755,CNRM-CM6-1-HR,ssp245
2022,3,15.247,CNRM-CM6-1-HR,ssp245
2022,9,5.689,CNRM-CM6-1-HR,ssp245
2023,3,15.003,CNRM-CM6-1-HR,ssp245
2023,9,4.92,CNRM-CM6-1-HR,ssp245
2024,3,15.14,CNRM-CM6-1-HR,ssp245
2024,9,5.671,CNRM-CM6-1-HR,ssp245
2025,3,15.177,CNRM-CM6-1-HR,ssp245
2025,9,4.649,CNRM-CM6-1-HR,ssp245
2026,3,15.226,CNRM-CM6-1-HR,ssp245
