Year,Month,Value,Model,Scenario
2036,9,3.322,ACCESS-CM2,ssp245
2037,3,15.856,ACCESS-CM2,ssp245
2037,9,1.668,ACCESS-CM2,ssp245
2038,3,15.429,ACCESS-CM2,ssp245
2038,9,0.154,ACCESS-CM2,ssp245
2039,3,14.526,ACCESS-CM2,ssp245
2039,9,0.691,ACCESS-CM2,ssp245
2040,3,14.154,ACCESS-CM2,ssp245
2040,9,1.198,ACCESS-CM2,ssp245
2041,3,14.471,ACCESS-CM2,ssp245
2041,9,1.274,ACCESS-CM2,ssp245
2042,3,14.443,ACCESS-CM2,ssp245
2042,9,0.258,ACCESS-CM2,ssp245
2043,3,14.87,ACCESS-CM2,ssp245
2043,9,0.497,ACCESS-CM2,ssp245
2044,3,14.778,ACCESS-CM2,ssp245
2044,9,0.205,ACCESS-CM2,ssp245
2045,3,14.712,ACCESS-CM2,ssp245
2045,9,0.506,ACCESS-CM2,ssp245
2046,3,14.306,ACCESS-CM2,ssp245
2046,9,0.334,ACCESS-CM2,ssp245
2047,3,14.535,ACCESS-CM2,ssp245
2047,9,0.322,ACCESS-CM2,ssp245
2048,3,14.593,ACCESS-CM2,ssp245
2048,9,0.359,ACCESS-CM2,ssp245
2049,3,14.122,ACCESS-CM2,ssp245
2049,9,0.592,ACCESS-CM2,ssp245
2050,3,13.761,ACCESS-CM2,ssp245
2050,9,0.781,ACCESS-CM2,ssp245
2051,3,14.546,ACCESS-CM2,ssp245
2051,9,0.797,ACCESS-CM2,ssp245
2052,3,14.647,ACCESS-CM2,ssp245
2052,9,0.186,ACCESS-CM2,ssp245
2053,3,14.385,ACCESS-CM2,ssp245
2053,9,0.676,ACCESS-CM2,ssp245
2054,3,14.318,ACCESS-CM2,ssp245
2054,9,0.931,ACCESS-CM2,ssp245
2055,3,14.038,ACCESS-CM2,ssp245
2055,9,0.172,ACCESS-CM2,ssp245
2056,3,13.732,ACCESS-CM2,ssp245
2056,9,0.333,ACCESS-CM2,ssp245
2057,3,13.366,ACCESS-CM2,ssp245
2057,9,0.456,ACCESS-CM2,ssp245
2058,3,13.49,ACCESS-CM2,ssp245
2058,9,0.8,ACCESS-CM2,ssp245
2059,3,13.402,ACCESS-CM2,ssp245
2059,9,0.288,ACCESS-CM2,ssp245
2060,3,13.563,ACCESS-CM2,ssp245
2060,9,0.034,ACCESS-CM2,ssp245
2061,3,13.19,ACCESS-CM2,ssp245
2061,9,0.077,ACCESS-CM2,ssp245
2062,3,13.248,ACCESS-CM2,ssp245
2062,9,0.077,ACCESS-CM2,ssp245
2063,3,13.309,ACCESS-CM2,ssp245
2063,9,0.019,ACCESS-CM2,ssp245
2064,3,13.572,ACCESS-CM2,ssp245
2064,9,0.253,ACCESS-CM2,ssp245
2065,3,13.794,ACCESS-CM2,ssp245
2065,9,0.043,ACCESS-CM2,ssp245
2066,3,14.069,ACCESS-CM2,ssp245
2066,9,0.15,ACCESS-CM2,ssp245
2067,3,14.013,ACCESS-CM2,ssp245
2067,9,0.501,ACCESS-CM2,ssp245
2068,3,14.049,ACCESS-CM2,ssp245
2068,9,0.158,ACCESS-CM2,ssp245
2069,3,13.609,ACCESS-CM2,ssp245
2069,9,0.151,ACCESS-CM2,ssp245
2070,3,13.033,ACCESS-CM2,ssp245
2070,9,0.131,ACCESS-CM2,ssp245
2071,3,12.78,ACCESS-CM2,ssp245
2071,9,0.098,ACCESS-CM2,ssp245
2072,3,12.742,ACCESS-CM2,ssp245
2072,9,0.054,ACCESS-CM2,ssp245
2073,3,13.23,ACCESS-CM2,ssp245
2073,9,0.044,ACCESS-CM2,ssp245
2074,3,13.229,ACCESS-CM2,ssp245
